exch_epoch,bid_1_price,bid_2_price,bid_3_price,bid_4_price,bid_5_price,bid_6_price,bid_7_price,bid_8_price,bid_9_price,bid_10_price,ask_1_price,ask_2_price,ask_3_price,ask_4_price,ask_5_price,ask_6_price,ask_7_price,ask_8_price,ask_9_price,ask_10_price,bid_1_qty,bid_2_qty,bid_3_qty,bid_4_qty,bid_5_qty,bid_6_qty,bid_7_qty,bid_8_qty,bid_9_qty,bid_10_qty,ask_1_qty,ask_2_qty,ask_3_qty,ask_4_qty,ask_5_qty,ask_6_qty,ask_7_qty,ask_8_qty,ask_9_qty,ask_10_qty
1698822302515583000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,192,160,172,298,157,158,557,316,3982,200,25671,75,165,275,162,157,162
1698822302516897000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,192,160,172,298,157,358,357,316,3982,200,25671,75,165,275,162,157,162
1698822302517966000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,192,160,172,298,157,358,357,316,3982,200,25671,75,165,475,162,157,162
1698822302518058000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,192,160,172,298,157,158,357,316,3982,200,25671,75,165,475,162,157,162
1698822302521246000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,192,160,172,298,157,158,357,316,3982,200,25671,75,365,275,162,157,162
1698822302528244000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,316,3982,200,25671,75,365,275,162,157,162
1698822302539197000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,311,3982,200,25671,75,365,275,162,157,162
1698822302557126000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,365,275,162,157,162
1698822302557226000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,557,310,3982,200,25671,75,165,275,162,157,162
1698822302557980000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,165,275,162,157,162
1698822302558008000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,165,475,162,157,162
1698822302560613000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,365,275,162,157,162
1698822302565807000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,165,275,162,157,162
1698822302565820000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,557,310,3982,200,25671,75,165,275,162,157,162
1698822302566837000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,358,357,310,3982,200,25671,75,165,275,162,157,162
1698822302568501000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,165,475,162,157,162
1698822302569839000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,365,275,162,157,162
1698822302572332000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,165,275,162,157,162
1698822302572445000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,557,310,3982,200,25671,75,165,275,162,157,162
1698822302573398000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,165,275,162,157,162
1698822302573406000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,165,475,162,157,162
1698822302577619000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,365,275,162,157,162
1698822302581830000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,357,310,3982,200,25671,75,165,275,162,157,162
1698822302581849000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,158,557,310,3982,200,25671,75,165,275,162,157,162
1698822302582426000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,163,3,83,192,160,172,298,157,358,357,310,3982,200,25671,75,165,275,162,157,162
